10:46:39.191 [main] INFO  com.polestar.ndcrefill.Main - starting app
10:46:39.528 [main] INFO  com.polestar.ndcrefill.Main - ShipPosition Generator Value: 8783
10:46:39.570 [main] INFO  com.polestar.ndcrefill.Main - max ship position id is: 439143 Current shipPositionID: 440000
10:46:39.571 [main] INFO  com.polestar.ndcrefill.FileService - starting to process file
10:46:39.944 [main] INFO  com.polestar.ndcrefill.FileService - Positions count: 775
10:46:39.944 [main] INFO  com.polestar.ndcrefill.Main - Start: 2022-06-09 10:46:39.944
10:46:40.003 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-03","creation_time":"20:12:33","trail_date":"2022-06-03","trail_time":"20:10:00","trail_latitude":"36.74666667","trail_longitude":"5.08","trail_speed":"0","trail_heading":"318","i_m_o_number":"9265380","DC_ID":"1002"}
10:46:40.004 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-03","creation_time":"14:11:39","trail_date":"2022-06-03","trail_time":"14:10:00","trail_latitude":"36.74666667","trail_longitude":"5.08","trail_speed":"0","trail_heading":"318","i_m_o_number":"9265380","DC_ID":"1002"}
10:46:40.004 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-03","creation_time":"08:11:28","trail_date":"2022-06-03","trail_time":"08:10:00","trail_latitude":"36.772","trail_longitude":"5.15","trail_speed":"1.6","trail_heading":"258","i_m_o_number":"9265380","DC_ID":"1002"}
10:46:40.005 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-03","creation_time":"02:12:37","trail_date":"2022-06-03","trail_time":"02:10:00","trail_latitude":"37.136","trail_longitude":"6.056","trail_speed":"8.2","trail_heading":"241","i_m_o_number":"9265380","DC_ID":"1002"}
10:46:40.005 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-02","creation_time":"20:11:23","trail_date":"2022-06-02","trail_time":"20:10:00","trail_latitude":"37.21466667","trail_longitude":"7.088666667","trail_speed":"9.6","trail_heading":"272","i_m_o_number":"9265380","DC_ID":"1002"}
10:46:40.006 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-02","creation_time":"14:11:16","trail_date":"2022-06-02","trail_time":"14:10:00","trail_latitude":"37.26533333","trail_longitude":"8.100666667","trail_speed":"9.6","trail_heading":"269","i_m_o_number":"9265380","DC_ID":"1002"}
10:46:40.006 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-02","creation_time":"08:12:19","trail_date":"2022-06-02","trail_time":"08:10:00","trail_latitude":"37.44866667","trail_longitude":"9.264666667","trail_speed":"9.6","trail_heading":"252","i_m_o_number":"9265380","DC_ID":"1002"}
10:46:40.007 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-02","creation_time":"02:12:27","trail_date":"2022-06-02","trail_time":"02:10:00","trail_latitude":"37.652","trail_longitude":"10.30466667","trail_speed":"7.8","trail_heading":"263","i_m_o_number":"9265380","DC_ID":"1002"}
10:46:40.007 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-05","creation_time":"23:38:42","trail_date":"2022-06-05","trail_time":"23:34:00","trail_latitude":"37.31266667","trail_longitude":"0.2233333333","trail_speed":"14.2","trail_heading":"192","i_m_o_number":"9320855","DC_ID":"1002"}
10:46:40.008 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-05","creation_time":"17:38:44","trail_date":"2022-06-05","trail_time":"17:34:00","trail_latitude":"38.66866667","trail_longitude":"0.6486666667","trail_speed":"13.2","trail_heading":"196","i_m_o_number":"9320855","DC_ID":"1002"}
